Unnamed: 0,Station_id,Station Name,Latitude,Longitude,NAME_1,NAME_2,Unnamed: 7
445,445,MGM Casino - Public Parking Structure,42.33476,-83.0608,Michigan,Wayne,
446,446,City of Rochester - City Hall & Municipal Park,42.683212,-83.1366,Michigan,Oakland,
447,447,Village of Rochester Hills,42.682914,-83.193236,Michigan,Oakland,
448,448,City of Saline - City Parking Lot #2,42.166498,-83.780162,Michigan,Washtenaw,
449,449,Cuyahoga Community College - Advanced Automotive Technology Center,41.36684,-81.7638,Ohio,Cuyahoga,
451,451,Annapolis Friends Meeting,39.001676,-76.525253,Maryland,Anne Arundel,
452,452,Richmond Ford Lincoln,37.578775,-77.489409,Virginia,Richmond,
453,453,Emagine Entertainment,42.455,-83.131111,Michigan,Oakland,
454,454,Marriott Hotel - Underground Deck,35.772881,-78.638502,North Carolina,Wake,
455,455,City of Raleigh - Performing Arts Center Deck,35.772619,-78.641492,North Carolina,Wake,
456,456,City of Raleigh - Wilmington Station Deck,35.77937,-78.638203,North Carolina,Wake,
457,457,Southern Oregon University - Lot 8,42.187149,-122.689496,Oregon,Jackson,
458,458,Atmosera,45.475743,-122.776517,Oregon,Washington,
459,459,Clackamas County Sheriff's Office - Brooks Building,45.43039547,-122.5722027,Oregon,Clackamas,
460,460,Jim Ellis Chevrolet,33.90999,-84.2914,Georgia,DeKalb,
461,461,O'Hare Airport - Short Term Parking,41.97850582,-87.90328,Illinois,Cook,
462,462,Neal's Garage,36.009999,-78.921405,North Carolina,Durham,
463,463,Kum & Go #408,36.379802,-94.177871,Arkansas,Benton,
464,464,OUC CAY COMMONS 01,28.424816,-81.445089,Florida,Orange,
465,465,OUC VISTA CAY 01,28.429047,-81.44937,Florida,Orange,
466,466,OUC WINGATE 1,28.485994,-81.457176,Florida,Orange,
467,467,Kum & Go #206,41.607327,-93.735902,Iowa,Polk,
468,468,Kum & Go #134,41.00709,-91.981752,Iowa,Jefferson,
469,469,Kum & Go #572,41.645933,-93.769432,Iowa,Polk,
470,470,CHARLES COUNTY INDIAN HEAD1,38.623533,-77.086898,Maryland,Charles,
