Unnamed: 0,value,location_unique_id,location_country,location_lat,location_lng,COUNTRY,Unnamed: 7,Unnamed: 8,Unnamed: 9
297,Tesla Destination Charger Innisfallen Hotel,b1141b4e-466d-11e9-aa1c-42010a840003,IE,52.07083,-9.574096,Ireland,,,
298,Tesla Destination Charger The Europe Hotel & Resort,c4f01d70-466d-11e9-85a2-42010a840003,IE,52.067353,-9.573084,Ireland,,,
299,The Europe Hotel and Resort  Killorglin Road (N72)  Fossa  Killarney  County Kerry,e6d2d3c0-c8d5-11e9-8d2e-42010a840003,IE,52.067174,-9.572493,Ireland,,,
300,Tesla Destination Charger The River Lee Hotel,b1d52bd6-466d-11e9-beff-42010a840003,IE,51.895982,-8.48481,Ireland,,,
301,River Lee Hotel  Lancaster Quay  Western Road  County Cork,e7619bd2-c76b-11eb-b565-42010a840003,IE,51.895988,-8.485001,Ireland,,,
308,O'Sullivan's Bar  West Village  Douglas  Cork  County Cork,e53394a0-c8d5-11e9-9759-42010a840003,IE,51.876107,-8.439509,Ireland,,,
309,Silver Springs Moran Hotel  Lower Glanmire Road  Tivoli  County Cork,e5910086-c8d5-11e9-89f8-42010a840003,IE,51.903944,-8.423815,Ireland,,,
324,EasyGo - Lidl  Shankill  Dublin,f93068b4-13a9-11eb-8b9f-42010a840003,IE,53.233419,-6.123104,Ireland,,,
327,C8XR1,392396d0-13aa-11eb-8aed-42010a840003,IE,53.251256,-6.185199,Ireland,,,
328,C8STP,aa164a44-22ca-11ea-a6fd-42010a840003,IE,53.252659,-6.169138,Ireland,,,
329,C77UD,ed9b0240-c8d5-11e9-8c46-42010a840003,IE,53.236754,-6.117675,Ireland,,,
334,IEGOC-EVBDS104,fe60b7bc-3353-11ea-9b4a-42010a840003,IE,53.292225,-6.132917,Ireland,,,
335,IEGOC-EVBDS105,851326b0-3e57-11ea-8539-42010a840003,IE,53.293271,-6.133711,Ireland,,,
336,IEGOC-EVB109,f26eec4a-70a1-11ea-ae08-42010a840003,IE,53.2733,-9.0031,Ireland,,,
337,C8QYG,2cfd911c-6802-11e9-be9f-42010a840003,IE,53.280332,-6.213815,Ireland,,,
338,Carmanhall Road  Sandyford Business Centre  Dublin 18  County Dublin,eda7de02-c8d5-11e9-9b3e-42010a840003,IE,53.27655,-6.2096,Ireland,,,
339,suby1100009232,956f627c-2c1b-11ec-ba87-42010a840003,IE,53.276099,-6.213997,Ireland,,,
340,suby1100009242,957dfd78-2c1b-11ec-a4ed-42010a840003,IE,53.275865,-6.213286,Ireland,,,
341,suby1100009379,958b6080-2c1b-11ec-a8d4-42010a840003,IE,53.275549,-6.212321,Ireland,,,
342,suby1100009233,959c0f48-2c1b-11ec-9762-42010a840003,IE,53.275968,-6.213634,Ireland,,,
343,suby1100009244,95aec516-2c1b-11ec-96b6-42010a840003,IE,53.275735,-6.212879,Ireland,,,
344,suby1100009231,95be3140-2c1b-11ec-95db-42010a840003,IE,53.276234,-6.214401,Ireland,,,
345,C5L9W,00f31d14-c8d6-11e9-b112-42010a840003,IE,53.3145,-6.39389,Ireland,,,
346,EasyGo - Maldron Hotel Newlands Cross,e8345db6-ae7e-11eb-9cbd-42010a840003,IE,53.313791,-6.393433,Ireland,,,
347,EasyGo - Lidl  Glenageary  Dublin,e714d61a-13a9-11eb-bbfd-42010a840003,IE,53.279033,-6.137213,Ireland,,,
348,EasyGo - Aldi  Sallynoggin  Dublin,f28d229a-13a9-11eb-9b1b-42010a840003,IE,53.277108,-6.14007,Ireland,,,
349,EasyGo - Lidl  Tallaght  Dublin,ec0969a6-13a9-11eb-9fee-42010a840003,IE,53.288103,-6.352737,Ireland,,,
350,EasyGo - Lidl  Belgard Rd  Tallaght,f1b69d56-13a9-11eb-b55a-42010a840003,IE,53.301422,-6.378777,Ireland,,,
351,C86D9,3c26b218-13aa-11eb-871e-42010a840003,IE,53.30925,-6.195849,Ireland,,,
352,C6UXP,6994ef12-13aa-11eb-9c24-42010a840003,IE,53.286679,-6.240973,Ireland,,,
353,Sandyford Road Carpark  DLRCC,b71c780c-b979-11eb-a485-42010a840003,IE,53.28814,-6.241136,Ireland,,,
354,Tesla Destination Charger Airfield Estate,aa543208-466d-11e9-a400-42010a840003,IE,53.287991,-6.235794,Ireland,,,
355,Dundrum Town Centre,b772c156-4a41-11ea-8ebb-42010a840003,IE,53.286055,-6.2399,Ireland,,,
356,TEV003,af3fb218-13aa-11eb-a015-42010a840003,IE,53.321013,-6.265924,Ireland,,,
357,EasyGo - Lidl Adamstown,b0bccdb0-13aa-11eb-97db-42010a840003,IE,53.346196,-6.474037,Ireland,,,
358,TEV005,ff51cedc-25c3-11eb-8331-42010a840003,IE,53.352862,-6.459997,Ireland,,,
359,TEV010,ff97e75a-25c3-11eb-bd92-42010a840003,IE,53.350242,-6.388903,Ireland,,,
360,TEV022,007f0716-25c4-11eb-808d-42010a840003,IE,53.3201,-6.394229,Ireland,,,
366,C57G4,2c25f1d0-13aa-11eb-a5fd-42010a840003,IE,53.293619,-6.134796,Ireland,,,
367,C5FCF,f55b1e38-25c3-11eb-877f-42010a840003,IE,53.282163,-9.064822,Ireland,,,
368,has.to.be gmbh Balinteer Business Centre 7.2kW,ad45ca46-bec8-11eb-bc02-42010a840003,IE,53.275941,-6.249204,Ireland,,,
369,The Coach House Ballinteer,1b1c7cc2-ab31-11ec-bf04-42010a840003,IE,53.276188,-6.248796,Ireland,,,
370,Main Street  Dundrum  Dublin 14  County Dublin,ed2c7e06-c8d5-11e9-a324-42010a840003,IE,53.290297,-6.244672,Ireland,,,
371,C8M1F,55c0290e-5a60-11ec-a6cb-42010a840003,IE,53.290689,-6.245232,Ireland,,,
372,Lidl Rathfarnham  13 Grange Road  Dublin 16  D16 PH21,e48fa28a-13a9-11eb-9228-42010a840003,IE,53.277676,-6.265951,Ireland,,,
373,C774G,ee92acde-c8d5-11e9-9276-42010a840003,IE,53.281239,-6.469599,Ireland,,,
374,C5GF3,eec9285e-c8d5-11e9-9f1a-42010a840003,IE,53.322011,-6.238717,Ireland,,,
375,Athlone,460ff996-0c72-11ea-b500-42010a840003,IE,53.400768,-7.826414,Ireland,,,
376,C5NLZ,2f6b1532-6802-11e9-8513-42010a840003,IE,53.412838,-6.216159,Ireland,,,
377,Bewleys Hotel Dublin Airport  Stockhole Lane  Swords  County Dublin,e66f6934-c8d5-11e9-98d6-42010a840003,IE,53.411598,-6.217049,Ireland,,,
378,EasyGo - Lidl  Castleknock  Dublin,ecdf45c6-13a9-11eb-a8ec-42010a840003,IE,53.373243,-6.360341,Ireland,,,
380,TEV002,a4358ce4-13aa-11eb-b934-42010a840003,IE,53.360629,-6.299333,Ireland,,,
