Unnamed: 0,name,pname,cityname,wgs84_lon,wgs84_lat
195,特斯拉超级充电站(上海青浦吾悦广场),上海市,上海市,121.09093839230896,31.14541909112477
196,国家电网汽车充电站(上海市青浦区吾悦广场停车场公共充电站),上海市,上海市,121.09048148541798,31.146026828845343
197,电桩宝充电站,上海市,上海市,121.16298073475356,31.15508643556089
198,特来电充电站(上海青浦万达茂站),上海市,上海市,121.07696370879478,31.13462692726135
199,特来电充电站(上海青浦万达茂),上海市,上海市,121.07966105962711,31.135078825560747
200,特来电充电站(8090青年创业园),上海市,上海市,121.17715496542974,31.16143266814484
201,易马达e换电电动自行车充电站(盈港东路),上海市,上海市,121.1798641138623,31.164222189353666
202,特来电充电站(上海8090创业园停车场快充站),上海市,上海市,121.17713191669084,31.161463609548573
203,星星充电汽车充电站(移动智地三期),上海市,上海市,121.1686342993267,31.154501371191493
204,星星充电汽车充电站(星星锐嘉科移动智地三期),上海市,上海市,121.16863530145535,31.154500373599934
205,乐华充电(上海绿滔食品有限公司直流充电站),上海市,上海市,121.1726223641958,31.155116535745925
206,依威能源汽车充电站(新城盛景A区农工商超市后侧河边),上海市,上海市,121.14262606990232,31.16124087426882
207,星星充电汽车充电站(皮克家具直流),上海市,上海市,121.17940077425484,31.145675062749795
208,星星充电汽车充电站(孚陶电子直流),上海市,上海市,121.17782382428696,31.155284107792728
209,依威能源汽车充电站(松港西郊智库),上海市,上海市,121.18082359758074,31.15722956883289
210,国家电网汽车充电站(上海青浦区意邦置业电动汽车充电站),上海市,上海市,121.18769372099,31.19314344233874
211,国家电网汽车充电站(上海青浦区重固镇社区卫生服务中心电动汽车充电站),上海市,上海市,121.18586179676144,31.19878147786936
212,挚达科技汽车充电站,上海市,上海市,121.16906932381816,31.270022956144786
213,国家电网充电站(国际汽车城6号),上海市,上海市,121.16875065528907,31.27023326728297
214,国家电网汽车充电站(安礼路),上海市,上海市,121.17085277361474,31.27222037389497
215,国家电网汽车充电站(安亭新镇兴苑),上海市,上海市,121.16706185449448,31.274350346223585
216,依威能源汽车充电站(梁杭电商U库),上海市,上海市,121.19669651968806,31.23080219232985
217,青浦消防赵巷中队电动汽车充电站,上海市,上海市,121.1969462400144,31.156502326196264
218,国家电网汽车充电站(上海青浦区赵巷镇赵兴路53号赵巷邮政支局电动汽车充电站),上海市,上海市,121.19487617031854,31.15129779537807
219,EVCARD充电站(颖奕高尔夫),上海市,上海市,121.18658162993644,31.27546569350137
220,小鹏汽车汽车充电站(上海颖奕皇冠假日酒店小鹏目的地站),上海市,上海市,121.18633018386522,31.275131396053045
221,挚达汽车充电站(颖奕安亭高尔夫俱乐部),上海市,上海市,121.18620697798715,31.27481431453966
222,安悦充电充电站(安悦汽车站安亭乘用车试车场站),上海市,上海市,121.18544719738657,31.27879031827205
223,Evcard汽车充电站(安亭乘用车试车场站),上海市,上海市,121.18545621420652,31.27879433243288
224,特来电充电站(万科安亭新镇),上海市,上海市,121.16205471125862,31.273722208537137
225,挚达汽车充电站(安亭新镇售楼处对面),上海市,上海市,121.16274003899086,31.27445518245862
