unitPrice,zpid,latitude,longitude,homeType
400.7285974,2098644858,32.66292,-117.0463,SINGLE_FAMILY
369.4846772,17137564,32.661907,-117.04027,SINGLE_FAMILY
425.6996453,17139583,32.65507,-117.01764,SINGLE_FAMILY
446.4285714,17147168,32.658348,-116.95806,SINGLE_FAMILY
520.8333333,17126811,32.705254,-116.9939,SINGLE_FAMILY
487.2969461,17137346,32.66592,-117.04277,SINGLE_FAMILY
610.2347418,17120679,32.693913,-117.03474,SINGLE_FAMILY
478.5276074,17038500,32.748917,-117.010796,SINGLE_FAMILY
427.5229358,17043880,32.74092,-117.01367,SINGLE_FAMILY
512.3447205,17115550,32.721703,-117.01142,SINGLE_FAMILY
415.6223893,17134086,32.674137,-117.029106,SINGLE_FAMILY
392.3731484,66655221,32.66982,-116.97892,SINGLE_FAMILY
464.4268775,17041712,32.74617,-116.95532,CONDO
476.4826176,17116171,32.718452,-117.01187,SINGLE_FAMILY
418.4354154,17129249,32.69542,-117.02372,SINGLE_FAMILY
481.2834225,17049073,32.733482,-116.96198,CONDO
395.256917,140393410,32.746555,-116.99218,SINGLE_FAMILY
547.0980019,17017774,32.729996,-117.03625,SINGLE_FAMILY
615.1574803,17039019,32.754017,-116.99812,SINGLE_FAMILY
415.7762097,17135027,32.68605,-117.03376,SINGLE_FAMILY
454.5454545,2061286622,32.65969,-116.95,SINGLE_FAMILY
438.1127451,17131561,32.67217,-117.048256,SINGLE_FAMILY
495.9935897,17048477,32.72937,-116.974236,MULTI_FAMILY
540.8333333,17017773,32.729996,-117.036095,SINGLE_FAMILY
468.9795918,2061433081,32.746487,-117.04967,MULTI_FAMILY
388.1140085,17129226,32.694283,-117.02287,SINGLE_FAMILY
455.9446254,72109753,32.699272,-117.026245,TOWNHOUSE
1034.872611,17008807,32.750786,-117.04674,SINGLE_FAMILY
562.8019324,17126977,32.70328,-117.00438,SINGLE_FAMILY
567.9012346,17115971,32.719807,-117.005424,SINGLE_FAMILY
525.3931699,17016551,32.739635,-117.04321,TOWNHOUSE
449.6219658,17141233,32.660606,-116.99834,SINGLE_FAMILY
